time,v,q,VQS
0,59.4615384615385,52,A
0.25,59.5,64,A
0.5,60.4545454545455,44,A
0.75,65.0909090909091,44,A
1,55,28,A
1.25,58.5555555555556,36,A
1.5,75,12,A
1.75,62.75,48,A
2,63.1111111111111,36,A
2.25,58.5,16,A
2.5,59.6666666666667,12,A
2.75,63.5,8,A
3,68.25,16,A
3.25,63.125,32,A
3.5,60.4285714285714,28,A
3.75,57.2857142857143,28,A
4,58.375,32,A
4.25,61.5833333333333,48,A
4.5,63.5714285714286,56,A
4.75,66.7777777777778,36,A
5,62.75,48,A
5.25,62.375,64,A
5.5,58.4814814814815,108,A
5.75,61.4782608695652,92,A
6,58.9574468085106,188,A
6.25,58.6363636363636,176,A
6.5,57.5238095238095,252,B
6.75,56.3661971830986,284,B
7,53.832,500,C
7.25,54.5625,448,C
7.5,49.8740740740741,540,C
7.75,54.1363636363636,528,C
8,54.1,480,C
8.25,53.9624060150376,532,C
8.5,54.9015151515152,528,C
8.75,54.1785714285714,448,C
9,53.6524822695036,564,C
9.25,53.7950819672131,488,C
9.5,54.0406504065041,492,C
9.75,54.2876712328767,584,C
10,53.0961538461539,624,D
10.25,50.7597402597403,616,D
10.5,50.230303030303,660,D
10.75,51.8867924528302,636,D
11,51.3694267515924,628,D
11.25,45.1412429378531,708,D
11.5,44.2472527472528,728,E
11.75,46.112426035503,676,D
12,45.6100917431193,872,F
12.25,46.9385964912281,912,F
12.5,47.5175438596491,912,F
12.75,43.8034934497817,916,F
13,42.7354260089686,892,F
13.25,49.2182741116751,788,E
13.5,45.3913043478261,828,F
13.75,46.8991228070175,912,F
14,44.9150943396226,848,F
14.25,47.4803921568628,816,F
14.5,49.0714285714286,784,E
14.75,51.8837209302326,688,D
15,48.9625668449198,748,E
15.25,50.2611111111111,720,D
15.5,50.1712707182321,724,E
15.75,48.4039408866995,812,F
16,49.5,848,F
16.25,49.1147540983607,732,E
16.5,47.8816568047337,676,D
16.75,46.5697674418605,688,D
17,46.1479591836735,784,E
17.25,47.9946808510638,752,E
17.5,42.9303482587065,804,F
17.75,48.5721153846154,832,F
18,47.703125,768,E
18.25,45.3366336633663,808,F
18.5,49.4465408805031,636,D
18.75,52.3291925465839,644,D
19,52.6507936507937,504,C
19.25,52.6417910447761,536,C
19.5,55.0642201834863,436,B
19.75,53.9435483870968,496,C
20,54.5555555555556,432,B
20.25,53.3230769230769,520,C
20.5,55.2054794520548,292,B
20.75,57.6212121212121,264,B
21,56.1794871794872,312,B
21.25,56.8933333333333,300,B
21.5,57.7547169811321,212,A
21.75,56.1794871794872,312,B
22,55.2631578947369,380,B
22.25,56.1044776119403,268,B
22.5,53.5833333333333,288,B
22.75,56.5428571428572,280,B
23,57,216,A
23.25,57.1914893617021,188,A
23.5,55.1794871794872,156,A
23.75,58.3684210526316,152,A
